country,ISO_code,region,year,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,pf_score,pf_rank,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
Belize,BLZ,Latin America & the Caribbean,2015,4.02069731,6.666666667,10,9.111111111,,8.770833333,7.5,7.000462052,5.148883909,6.895477214,7.081756771,7.900214073,7.09458405,77,6.81,85,6.952292025,73,2
Benin,BEN,Sub-Saharan Africa,2015,4.296936351,8.031187091,6.666666667,9.877777778,9.5,8.952380952,10,5.797280424,3.580765453,6.934990574,5.924920312,6.676452396,7.5817134,62,5.78,134,6.6808567,94,3
Bhutan,BTN,South Asia,2015,6.051589941,8.796795981,5,7.605555556,,7.25,3.75,7.786619694,6.859619903,7.028718621,6.267201458,7.630521367,6.662790925,97,7.11,70,6.886395462,76,2
Bolivia,BOL,Latin America & the Caribbean,2015,3.499504426,8.443566798,10,8.625925926,6.5,8.535714286,10,6.168686889,3.581133884,8.727218031,6.847370246,4.950571175,7.351931827,68,6.05,126,6.700965914,92,3
Bosnia and Herzegovina,BIH,Eastern Europe,2015,5.834004367,9.01885084,6.666666667,8.781481481,9.5,8.702380952,9.25,5.335100673,4.23921142,8.462580284,7.777568764,7.312599848,8.003266712,46,6.63,96,7.316633356,55,2
Botswana,BWA,Sub-Saharan Africa,2015,5.171875449,7.161570546,8.333333333,9.258333333,,7.8125,4.25,5.898361116,6.164800355,9.084882842,7.721952656,7.879407652,6.790132332,91,7.35,50,7.070066166,69,2
Brazil,BRA,Latin America & the Caribbean,2015,4.803456119,6.110787427,10,7.717037037,6.5,8.040351008,7.5,5.15247595,4.45130018,7.965807686,6.9012205,4.297102904,6.704299691,93,5.75,140,6.227149845,119,3
Brunei Darussalam,BRN,South Asia,2015,5.945048605,6.600939245,7.5,0,1,4.55952381,1.666666667,5,5.239122575,8.505126304,6.987873018,8.140440228,4.60911601,152,6.77,88,5.689558005,138,4
Bulgaria,BGR,Eastern Europe,2015,5.209517109,9.760358771,10,7.352222222,9.5,8.857142857,9.25,7.019716166,4.883130213,9.355065492,8.133586308,7.583775783,8.238405478,42,7.4,46,7.819202739,41,2
Burkina Faso,BFA,Sub-Saharan Africa,2015,4.40768034,8.370018747,8.333333333,8.161481481,7.5,7.738095238,10,5.5625,3.597581138,6.959041731,6.611367436,7.416259395,7.367715777,67,6.03,127,6.698857888,92,3
Burundi,BDI,Sub-Saharan Africa,2015,3.428378316,6.232125436,1.666666667,7.314814815,1.5,1.944577628,5.833333333,6.117647059,3.09182541,7.778224417,6.104367318,6.259963671,4.241065182,155,5.87,131,5.055532591,153,4
Cambodia,KHM,South Asia,2015,2.669279254,9.587538771,10,8.72962963,7.5,7.94047619,8.333333333,7.886102261,4.354993664,9.295413111,7.310608753,7.157078443,7.314548421,70,7.2,64,7.257274211,58,2
Cameroon,CMR,Sub-Saharan Africa,2015,3.091677133,5.829825663,3.333333333,8.10962963,5.5,7.03267618,5,7.369716215,3.257379298,7.096359376,4.96170465,6.279913398,5.127939613,148,5.79,133,5.458969807,144,4
Canada,CAN,North America,2015,7.700447121,9.775239148,10,8.85,10,9.511904762,9.25,5.754943662,7.850680117,9.582510675,7.873761603,8.501366871,9.130112043,14,7.91,12,8.520056022,10,1
Cape Verde,CPV,Sub-Saharan Africa,2015,6.118723307,8.273639412,10,9.172222222,,8.9375,10,5.132731875,6.07731726,8.358168847,7.048452973,6.716087317,8.361805958,39,6.67,92,7.515902979,51,2
